seccode;remarks2
NUSA;---------------------L---
CNTX;-------------------E-----
BNBR;-------------------E-----
UNSP;-------------------E-----
MTFN;-------------------E-L---
HDTX;-------------------E-----
ARGO;-------------------E-----
POLY;-------------------E-----
MDRN;-------------------E-----
ZBRA;-------------------E-----
SAFE;-------------------E-----
BIMA;-------------------E-----
CMPP;-------------------E-----
KARW;-------------------E-----
ETWA;-------------------E-----
AISA;------------------M--L---
JKSW;-------------------E-----
CKRA;--------------------D-S--
AIMS;----------------------S--
CNKO;-------------------E-----
ITTG;----------------------S--
APEX;-------------------E-----
OCAP;-------------------E-----
ENRG;-------------------E-L---
APOL;-------------------E-L---
BTEL;-------------------ED----
TRIL;---------------------L---
SIAP;-------------------E-----
TRIO;-------------------E-----
GREN;---------------------L---
BORN;-------------------E-L---
GLOB;-------------------E-----
TAXI;-------------------E-----
CANI;-------------------E-----
GOLL;---------------------L---
DPUM;---------------------L---
TAMU;---------------------L---
DWGL;-------------------E-----
