seccode;remarks2
AIMS;----------------------S--
AISA;------------------M--L---
APEX;-------------------E-----
APOL;-------------------E-----
ARGO;-------------------E-----
BIMA;-------------------E-----
BNBR;-------------------E-----
BORN;-------------------E-----
BTEL;-------------------ED----
CANI;-------------------E-----
CKRA;--------------------D-S--
CMPP;-------------------E-----
CNKO;-------------------E-----
CNTX;-------------------E-----
DPUM;---------------------L---
DWGL;-------------------E-----
ETWA;-------------------E-----
GLOB;-------------------E-----
GOLL;---------------------L---
GREN;---------------------L---
HDTX;-------------------E-----
ITTG;----------------------S--
JKSW;-------------------E-----
KARW;-------------------E-----
MDRN;-------------------E-----
MTFN;-------------------E-L---
OCAP;-------------------E-----
POLY;-------------------E-----
SAFE;-------------------E-----
SIAP;-------------------E-----
TAMU;---------------------L---
TAXI;-------------------E-----
TRIO;-------------------E-----
UNSP;-------------------E-----
YULE;--------------------D----
ZBRA;-------------------E-----
